"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"2016"	"2016"	17	38429	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	13	113524	Unreliable
	"5-14 years"	"5-14"	"2000"	"2000"	23	112977	20.4
	"5-14 years"	"5-14"	"2001"	"2001"	19	111548	Unreliable
	"5-14 years"	"5-14"	"2002"	"2002"	19	110318	Unreliable
	"5-14 years"	"5-14"	"2003"	"2003"	13	109127	Unreliable
	"5-14 years"	"5-14"	"2004"	"2004"	11	107941	Unreliable
	"5-14 years"	"5-14"	"2005"	"2005"	14	106293	Unreliable
	"5-14 years"	"5-14"	"2006"	"2006"	15	105014	Unreliable
	"5-14 years"	"5-14"	"2007"	"2007"	14	104010	Unreliable
	"5-14 years"	"5-14"	"2008"	"2008"	11	103066	Unreliable
	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	101996	Suppressed
	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	101576	Suppressed
	"5-14 years"	"5-14"	"2011"	"2011"	10	100590	Unreliable
	"5-14 years"	"5-14"	"2012"	"2012"	16	100336	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	12	99939	Unreliable
	"5-14 years"	"5-14"	"2014"	"2014"	14	99331	Unreliable
	"5-14 years"	"5-14"	"2015"	"2015"	17	98385	Unreliable
	"5-14 years"	"5-14"	"2016"	"2016"	11	97331	Unreliable
	"15-24 years"	"15-24"	"1999"	"1999"	80	115760	69.1
	"15-24 years"	"15-24"	"2000"	"2000"	87	115734	75.2
	"15-24 years"	"15-24"	"2001"	"2001"	78	117850	66.2
	"15-24 years"	"15-24"	"2002"	"2002"	100	119491	83.7
	"15-24 years"	"15-24"	"2003"	"2003"	91	120619	75.4
	"15-24 years"	"15-24"	"2004"	"2004"	99	120600	82.1
	"15-24 years"	"15-24"	"2005"	"2005"	90	119620	75.2
	"15-24 years"	"15-24"	"2006"	"2006"	64	118817	53.9
	"15-24 years"	"15-24"	"2007"	"2007"	103	117682	87.5
	"15-24 years"	"15-24"	"2008"	"2008"	80	116707	68.5
	"15-24 years"	"15-24"	"2009"	"2009"	93	115776	80.3
	"15-24 years"	"15-24"	"2010"	"2010"	84	114647	73.3
	"15-24 years"	"15-24"	"2011"	"2011"	74	114948	64.4
	"15-24 years"	"15-24"	"2012"	"2012"	78	114842	67.9
	"15-24 years"	"15-24"	"2013"	"2013"	80	113079	70.7
	"15-24 years"	"15-24"	"2014"	"2014"	79	110122	71.7
	"15-24 years"	"15-24"	"2015"	"2015"	78	108966	71.6
	"15-24 years"	"15-24"	"2016"	"2016"	90	107771	83.5
	"25-34 years"	"25-34"	"1999"	"1999"	127	107621	118.0
	"25-34 years"	"25-34"	"2000"	"2000"	109	105453	103.4
	"25-34 years"	"25-34"	"2001"	"2001"	107	101470	105.4
	"25-34 years"	"25-34"	"2002"	"2002"	143	99592	143.6
	"25-34 years"	"25-34"	"2003"	"2003"	111	98811	112.3
	"25-34 years"	"25-34"	"2004"	"2004"	116	98511	117.8
	"25-34 years"	"25-34"	"2005"	"2005"	142	98093	144.8
	"25-34 years"	"25-34"	"2006"	"2006"	132	97307	135.7
	"25-34 years"	"25-34"	"2007"	"2007"	125	96886	129.0
	"25-34 years"	"25-34"	"2008"	"2008"	142	96858	146.6
	"25-34 years"	"25-34"	"2009"	"2009"	133	96826	137.4
	"25-34 years"	"25-34"	"2010"	"2010"	131	97503	134.4
	"25-34 years"	"25-34"	"2011"	"2011"	134	99317	134.9
	"25-34 years"	"25-34"	"2012"	"2012"	140	100616	139.1
	"25-34 years"	"25-34"	"2013"	"2013"	155	102341	151.5
	"25-34 years"	"25-34"	"2014"	"2014"	189	103140	183.2
	"25-34 years"	"25-34"	"2015"	"2015"	196	103736	188.9
	"25-34 years"	"25-34"	"2016"	"2016"	229	105240	217.6
	"35-44 years"	"35-44"	"1999"	"1999"	276	126604	218.0
	"35-44 years"	"35-44"	"2000"	"2000"	286	124897	229.0
	"35-44 years"	"35-44"	"2001"	"2001"	295	121901	242.0
	"35-44 years"	"35-44"	"2002"	"2002"	273	118856	229.7
	"35-44 years"	"35-44"	"2003"	"2003"	284	115626	245.6
	"35-44 years"	"35-44"	"2004"	"2004"	240	113652	211.2
	"35-44 years"	"35-44"	"2005"	"2005"	241	111413	216.3
	"35-44 years"	"35-44"	"2006"	"2006"	249	108878	228.7
	"35-44 years"	"35-44"	"2007"	"2007"	255	106002	240.6
	"35-44 years"	"35-44"	"2008"	"2008"	259	102744	252.1
	"35-44 years"	"35-44"	"2009"	"2009"	244	99484	245.3
	"35-44 years"	"35-44"	"2010"	"2010"	209	97478	214.4
	"35-44 years"	"35-44"	"2011"	"2011"	218	94698	230.2
	"35-44 years"	"35-44"	"2012"	"2012"	219	92976	235.5
	"35-44 years"	"35-44"	"2013"	"2013"	241	92802	259.7
	"35-44 years"	"35-44"	"2014"	"2014"	240	92289	260.1
	"35-44 years"	"35-44"	"2015"	"2015"	262	91775	285.5
	"35-44 years"	"35-44"	"2016"	"2016"	293	90894	322.4
	"45-54 years"	"45-54"	"1999"	"1999"	510	110153	463.0
	"45-54 years"	"45-54"	"2000"	"2000"	510	112389	453.8
	"45-54 years"	"45-54"	"2001"	"2001"	506	116071	435.9
	"45-54 years"	"45-54"	"2002"	"2002"	515	116050	443.8
	"45-54 years"	"45-54"	"2003"	"2003"	561	117056	479.3
	"45-54 years"	"45-54"	"2004"	"2004"	565	117996	478.8
	"45-54 years"	"45-54"	"2005"	"2005"	566	118652	477.0
	"45-54 years"	"45-54"	"2006"	"2006"	570	119561	476.7
	"45-54 years"	"45-54"	"2007"	"2007"	564	119468	472.1
	"45-54 years"	"45-54"	"2008"	"2008"	607	119238	509.1
	"45-54 years"	"45-54"	"2009"	"2009"	595	118932	500.3
	"45-54 years"	"45-54"	"2010"	"2010"	598	118304	505.5
	"45-54 years"	"45-54"	"2011"	"2011"	558	115555	482.9
	"45-54 years"	"45-54"	"2012"	"2012"	550	113056	486.5
	"45-54 years"	"45-54"	"2013"	"2013"	590	110609	533.4
	"45-54 years"	"45-54"	"2014"	"2014"	588	108099	543.9
	"45-54 years"	"45-54"	"2015"	"2015"	568	106120	535.2
	"45-54 years"	"45-54"	"2016"	"2016"	540	103698	520.7
	"55-64 years"	"55-64"	"1999"	"1999"	767	74696	1026.8
	"55-64 years"	"55-64"	"2000"	"2000"	791	74985	1054.9
	"55-64 years"	"55-64"	"2001"	"2001"	744	75936	979.8
	"55-64 years"	"55-64"	"2002"	"2002"	790	80120	986.0
	"55-64 years"	"55-64"	"2003"	"2003"	826	83108	993.9
	"55-64 years"	"55-64"	"2004"	"2004"	781	86313	904.8
	"55-64 years"	"55-64"	"2005"	"2005"	911	89429	1018.7
	"55-64 years"	"55-64"	"2006"	"2006"	882	92373	954.8
	"55-64 years"	"55-64"	"2007"	"2007"	825	94828	870.0
	"55-64 years"	"55-64"	"2008"	"2008"	939	96815	969.9
	"55-64 years"	"55-64"	"2009"	"2009"	926	99488	930.8
	"55-64 years"	"55-64"	"2010"	"2010"	990	102124	969.4
	"55-64 years"	"55-64"	"2011"	"2011"	1032	105859	974.9
	"55-64 years"	"55-64"	"2012"	"2012"	1086	105969	1024.8
	"55-64 years"	"55-64"	"2013"	"2013"	1077	107072	1005.9
	"55-64 years"	"55-64"	"2014"	"2014"	1140	107949	1056.1
	"55-64 years"	"55-64"	"2015"	"2015"	1086	108873	997.5
	"55-64 years"	"55-64"	"2016"	"2016"	1203	109836	1095.3
	"65-74 years"	"65-74"	"1999"	"1999"	1598	58125	2749.2
	"65-74 years"	"65-74"	"2000"	"2000"	1521	57747	2633.9
	"65-74 years"	"65-74"	"2001"	"2001"	1466	57350	2556.2
	"65-74 years"	"65-74"	"2002"	"2002"	1448	56731	2552.4
	"65-74 years"	"65-74"	"2003"	"2003"	1360	56688	2399.1
	"65-74 years"	"65-74"	"2004"	"2004"	1331	56940	2337.5
	"65-74 years"	"65-74"	"2005"	"2005"	1257	56760	2214.6
	"65-74 years"	"65-74"	"2006"	"2006"	1245	57271	2173.9
	"65-74 years"	"65-74"	"2007"	"2007"	1192	58226	2047.2
	"65-74 years"	"65-74"	"2008"	"2008"	1326	59967	2211.2
	"65-74 years"	"65-74"	"2009"	"2009"	1237	61333	2016.9
	"65-74 years"	"65-74"	"2010"	"2010"	1310	61961	2114.2
	"65-74 years"	"65-74"	"2011"	"2011"	1318	64752	2035.5
	"65-74 years"	"65-74"	"2012"	"2012"	1319	67372	1957.8
	"65-74 years"	"65-74"	"2013"	"2013"	1418	70222	2019.3
	"65-74 years"	"65-74"	"2014"	"2014"	1477	72902	2026.0
	"65-74 years"	"65-74"	"2015"	"2015"	1555	75494	2059.8
	"65-74 years"	"65-74"	"2016"	"2016"	1667	77797	2142.8
	"75-84 years"	"75-84"	"1999"	"1999"	2370	37450	6328.4
	"75-84 years"	"75-84"	"2000"	"2000"	2405	37951	6337.1
	"75-84 years"	"75-84"	"2001"	"2001"	2262	38679	5848.1
	"75-84 years"	"75-84"	"2002"	"2002"	2406	39258	6128.7
	"75-84 years"	"75-84"	"2003"	"2003"	2214	39925	5545.4
	"75-84 years"	"75-84"	"2004"	"2004"	2296	40050	5732.8
	"75-84 years"	"75-84"	"2005"	"2005"	2255	40499	5568.0
	"75-84 years"	"75-84"	"2006"	"2006"	2155	40633	5303.6
	"75-84 years"	"75-84"	"2007"	"2007"	2164	40666	5321.4
	"75-84 years"	"75-84"	"2008"	"2008"	2248	40194	5592.9
	"75-84 years"	"75-84"	"2009"	"2009"	2087	39949	5224.2
	"75-84 years"	"75-84"	"2010"	"2010"	1990	40177	4953.1
	"75-84 years"	"75-84"	"2011"	"2011"	2058	41259	4988.0
	"75-84 years"	"75-84"	"2012"	"2012"	2081	40249	5170.3
	"75-84 years"	"75-84"	"2013"	"2013"	2074	40507	5120.1
	"75-84 years"	"75-84"	"2014"	"2014"	2071	40675	5091.6
	"75-84 years"	"75-84"	"2015"	"2015"	2090	40806	5121.8
	"75-84 years"	"75-84"	"2016"	"2016"	2065	41142	5019.2
	"85+ years"	"85+"	"1999"	"1999"	1916	11401	16805.5
	"85+ years"	"85+"	"2000"	"2000"	1924	11587	16604.8
	"85+ years"	"85+"	"2001"	"2001"	1928	11968	16109.6
	"85+ years"	"85+"	"2002"	"2002"	1976	12305	16058.5
	"85+ years"	"85+"	"2003"	"2003"	2065	12721	16233.0
	"85+ years"	"85+"	"2004"	"2004"	1899	13070	14529.5
	"85+ years"	"85+"	"2005"	"2005"	2080	13703	15179.2
	"85+ years"	"85+"	"2006"	"2006"	2030	14309	14186.9
	"85+ years"	"85+"	"2007"	"2007"	2140	14994	14272.4
	"85+ years"	"85+"	"2008"	"2008"	2264	15896	14242.6
	"85+ years"	"85+"	"2009"	"2009"	2191	16255	13478.9
	"85+ years"	"85+"	"2010"	"2010"	2452	16632	14742.7
	"85+ years"	"85+"	"2011"	"2011"	2514	17838	14093.5
	"85+ years"	"85+"	"2012"	"2012"	2478	17835	13894.0
	"85+ years"	"85+"	"2013"	"2013"	2557	18347	13936.9
	"85+ years"	"85+"	"2014"	"2014"	2530	18553	13636.6
	"85+ years"	"85+"	"2015"	"2015"	2704	18897	14309.1
	"85+ years"	"85+"	"2016"	"2016"	2650	19084	13886.0
	"Not Stated"	"NS"	"1999"	"1999"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2000"	"2000"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2001"	"2001"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2002"	"2002"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2003"	"2003"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2004"	"2004"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2005"	"2005"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2006"	"2006"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2016"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Gender: All"
"Hispanic Origin: All"
"MCD - ICD-10 Codes: All"
"Place of Death: All"
"Race: All"
"States: Greene County, OH (39057), Miami County, OH (39109), Montgomery County, OH (39113)"
"Ten-Year Age Groups: All"
"UCD - ICD-10 Codes: All"
"Weekday: All"
"Year/Month: All"
"Group By: Ten-Year Age Groups, Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: May 14, 2018 9:00:07 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on May 14, 2018 9:00:07 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"5. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016"
"postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for"
"year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS"
"on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013."
"Population figures for 2011 are bridged-race estimates of the July 1 resident population, from the county-level postcensal"
"Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age"
"Groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
